first_name,last_name,birth_date,dept_no,from_date,to_date,title,emp_no
Adel,Bressoud,1965-01-01,d005,1995-08-30,1999-01-01,Engineer,62245
Akeel,Litzler,1965-01-02,d008,1999-10-23,2001-12-21,Senior Staff,62384
Tetsushi,Tanemo,1965-01-23,d004,1997-03-01,1999-01-01,Engineer,63294
Hiroyasu,Seuren,1965-01-14,d004,1989-03-05,1999-01-01,Senior Engineer,63419
Hinrich,Scallan,1965-01-15,d003,1999-04-04,1999-01-01,Staff,63441
Padma,Peres,1965-01-19,d002,1985-02-20,1994-12-22,Staff,63444
Heekeun,Slaats,1965-01-31,d007,1999-01-12,1999-01-01,Senior Staff,63566
Falguni,Cherinka,1965-01-22,d004,1986-09-08,1987-10-15,Senior Engineer,63631
Sedat,Itzigehl,1965-01-26,d005,1997-07-31,1999-01-01,Engineer,63706
Laurentiu,Benzmuller,1965-01-11,d005,1999-11-08,1999-01-01,Senior Engineer,64023
Golgen,Schoegge,1965-01-24,d009,1988-02-26,1999-01-01,Senior Staff,64209
Faiza,Zongker,1965-01-25,d004,1995-12-10,2001-12-03,Technique Leader,64431
Tsutomu,Rebaine,1965-01-27,d006,1986-09-17,1999-01-01,Senior Engineer,64487
Atilio,Segond,1965-01-23,d004,1990-11-29,1999-01-01,Senior Engineer,64532
Zsolt,Brender,1965-01-07,d007,1996-02-21,1999-01-01,Senior Staff,64632
Shin,Piveteau,1965-01-29,d005,1985-04-19,1999-01-01,Senior Engineer,64790
Krister,Pappas,1965-01-27,d007,1999-09-30,1999-01-01,Staff,64828
Eldridge,Eldridge,1965-01-06,d006,1994-08-04,1999-01-01,Senior Engineer,64984
Chandrasekaran,Peral,1965-01-03,d005,1985-02-28,2001-12-14,Senior Engineer,65013
Jeane,Tasistro,1965-01-25,d004,1994-07-06,1999-01-01,Technique Leader,65171
Aksel,Picaronny,1965-01-23,d005,1991-01-27,1999-01-01,Engineer,65539
Patricia,Pepe,1965-01-07,d007,1991-04-19,1999-01-01,Staff,65883
Mandell,Alameldin,1965-01-09,d007,1989-04-08,1999-01-01,Staff,65998
Domenico,Candan,1965-01-04,d004,1997-07-13,1999-01-01,Engineer,66382
Dung,Leaver,1965-01-29,d008,1998-04-04,1999-01-01,Staff,66530
Jianhao,Tomescu,1965-01-18,d004,1996-08-26,1999-01-01,Engineer,66643
Deniz,Thibadeau,1965-02-01,d005,1994-09-27,1999-01-01,Senior Engineer,66702
Yonghong,Baig,1965-01-16,d001,1999-04-10,1999-01-01,Staff,66757
Aiman,Rosaz,1965-01-21,d005,1990-05-22,1999-01-01,Senior Engineer,66807
Sadok,Lorys,1965-01-18,d001,1987-05-10,1999-01-01,Senior Staff,67320
Fumitaka,Roohalamini,1965-01-11,d003,1998-06-27,1999-01-01,Staff,67548
Aiman,Gargeya,1965-01-07,d004,1985-03-07,1999-01-01,Senior Engineer,67934
Kristinn,Pearson,1965-01-12,d009,1995-05-07,1999-06-26,Staff,68022
Marl,Thiria,1965-01-14,d009,1987-03-18,1996-12-31,Senior Staff,68168
Fumiko,Bodoff,1965-01-16,d007,1991-12-19,1993-07-11,Staff,68263
Munenori,Debuse,1965-01-27,d004,1990-11-08,1999-01-01,Senior Engineer,68416
Yucai,Seghrouchni,1965-01-26,d004,1989-06-09,1999-01-01,Engineer,68608
Chinhyun,Rassart,1965-01-28,d004,1993-07-29,1999-01-01,Senior Engineer,68633
Jaques,DiGiano,1965-01-25,d005,1992-04-01,1999-01-01,Technique Leader,68648
Shietung,Shrader,1965-01-26,d007,1995-08-05,1999-01-01,Senior Staff,69052
Shuky,Redmiles,1965-01-09,d001,1994-11-19,1999-01-01,Senior Staff,69219
Miyeon,Rothe,1965-01-22,d007,1991-04-09,1999-01-01,Senior Staff,69867
Chinya,Cooke,1965-01-24,d005,1997-01-29,1999-01-01,Engineer,69878
Lalit,Unni,1965-01-23,d005,1998-12-06,1999-01-31,Assistant Engineer,69936
Tru,Miyakawa,1965-01-12,d001,1990-09-03,1999-01-01,Senior Staff,70469
Behnaam,Angelov,1965-01-27,d005,1995-01-29,1999-07-20,Assistant Engineer,70780
Arumugam,Nitta,1965-01-22,d004,1990-03-23,1999-01-01,Senior Engineer,70990
Domenick,Basart,1965-01-27,d007,1996-01-05,1999-01-01,Senior Staff,71066
Sajjad,Vitiello,1965-01-02,d003,1992-02-17,1999-01-01,Staff,71141
Pranjal,Schapiro,1965-01-02,d007,1986-12-14,1999-01-01,Staff,71188
Kinh,Buchter,1965-01-10,d004,1986-03-29,1999-01-01,Engineer,71243
Cathie,Peck,1965-01-15,d008,2001-03-04,1999-01-01,Senior Engineer,71334
Kristinn,Olano,1965-01-01,d004,1989-10-03,1999-01-01,Senior Engineer,71685
Hitomi,Takanami,1965-01-31,d005,1997-12-15,1999-01-01,Assistant Engineer,71710
Adil,Laventhal,1965-01-02,d005,1992-05-13,1999-01-01,Engineer,71745
Sajjad,Waeselynck,1965-01-19,d005,1999-09-13,1999-01-01,Engineer,72190
Feiyu,Siepmann,1965-01-26,d004,1998-10-01,1999-01-01,Senior Engineer,72194
Naraig,Veldwijk,1965-01-10,d006,1989-07-10,1999-01-01,Senior Engineer,72232
Honglan,Hutton,1965-01-24,d006,1993-10-04,1999-01-01,Senior Engineer,72640
Takahira,Szilard,1965-01-22,d007,1988-01-16,1999-01-01,Staff,72918
Froduald,Feldhoffer,1965-01-22,d005,1993-03-16,1999-01-01,Senior Engineer,73076
Shigeo,Merey,1965-01-15,d004,1985-07-30,1999-01-01,Senior Engineer,73233
Qingxiang,Badache,1965-01-14,d004,1989-06-25,1999-01-01,Senior Engineer,73516
Anneke,Bernardeschi,1965-01-15,d009,2000-10-15,1999-01-01,Engineer,73743
Aiichiro,Castellani,1965-01-26,d005,1985-08-26,1987-08-19,Engineer,73794
Bartek,Cappello,1965-01-29,d005,1988-07-28,1993-01-02,Engineer,73903
Holgard,Weiland,1965-01-16,d004,1991-09-24,1999-01-01,Senior Engineer,74200
Jaihie,Vilarrasa,1965-01-29,d006,1992-03-03,2001-06-20,Engineer,74237
Hiroyasu,Provine,1965-02-01,d005,1994-11-25,1999-01-01,Engineer,74344
Kolar,Garigliano,1965-01-07,d001,1992-05-10,1999-03-07,Senior Staff,74598
Masako,Bonifati,1965-01-01,d007,1987-04-09,1999-01-01,Senior Staff,74668
Yuuichi,Conde,1965-01-25,d004,1989-03-08,1999-01-01,Assistant Engineer,74800
Zissis,Birch,1965-01-22,d005,1994-08-19,2000-07-15,Senior Engineer,75113
Shuky,Jakobus,1965-01-11,d005,1986-06-16,1999-01-01,Senior Engineer,75354
Clyde,Vrecion,1965-01-09,d006,1997-07-03,2000-09-14,Engineer,75420
Kyoichi,Erman,1965-01-08,d005,1996-07-25,1999-01-01,Senior Engineer,75703
Jahangir,Radhakrishnan,1965-01-21,d005,1991-04-19,1993-12-29,Technique Leader,75760
Marsal,Otillio,1965-01-31,d008,1994-01-23,1999-09-16,Staff,75888
Chiradeep,Meriste,1965-01-19,d004,1988-05-23,1997-06-25,Senior Engineer,76178
Kolar,Hinsberger,1965-01-02,d004,1986-10-20,1999-01-01,Senior Engineer,76189
Arif,Preusig,1965-01-10,d005,1992-04-02,1999-01-01,Senior Engineer,76201
Parviz,Duclos,1965-01-31,d005,1989-12-27,1993-12-31,Senior Engineer,76417
Keung,Ferriere,1965-01-24,d004,1991-05-13,1995-10-08,Engineer,76598
Tristan,Mitsuhashi,1965-01-02,d006,1994-07-13,1999-01-01,Engineer,76640
Mariusz,Weiland,1965-01-20,d005,1989-08-16,1994-11-09,Senior Engineer,76847
Faiza,Garnham,1965-01-02,d005,1986-03-02,1999-01-01,Technique Leader,77030
Tesuro,Nicolson,1965-01-14,d009,1996-06-01,1999-10-20,Staff,77157
Xinglin,Birge,1965-01-18,d009,1992-03-05,1999-01-01,Senior Staff,77303
Niranjan,Schaaf,1965-01-07,d004,1989-11-05,1999-01-01,Technique Leader,77647
Ronghao,Picaronny,1965-01-21,d005,1993-06-09,1999-01-01,Engineer,77815
Fabrizio,Anick,1965-01-20,d008,1997-12-16,1998-05-02,Staff,78086
Ashish,Ratnaker,1965-01-09,d001,2000-01-17,1999-01-01,Senior Staff,78106
Teiji,Hinsberger,1965-01-12,d009,1997-01-25,2002-05-18,Senior Staff,78171
Susumu,Fritzsche,1965-01-03,d006,1998-06-23,1999-01-01,Engineer,78363
Leucio,Cappelli,1965-01-28,d003,1997-08-22,1999-01-01,Staff,78469
Conor,Ghandeharizadeh,1965-01-15,d005,1985-05-25,1999-01-01,Senior Engineer,78871
Katsuo,Hockney,1965-01-24,d004,1999-11-07,1999-01-01,Technique Leader,79043
Guiseppe,Ellozy,1965-01-19,d004,1991-01-12,1999-01-01,Senior Engineer,79171
Tsuneo,Servi,1965-01-18,d007,1999-06-30,2001-06-02,Staff,79190
Denny,Griswold,1965-01-07,d006,1989-05-18,2001-11-19,Senior Engineer,79239
Jeong,Cunliffe,1965-01-24,d001,1996-10-27,1999-01-01,Senior Staff,79310
Arnd,Peir,1965-01-03,d005,1986-12-11,1999-01-01,Senior Engineer,79606
Marl,Litzkow,1965-01-26,d008,1991-10-12,1993-10-22,Staff,79640
Make,Remmers,1965-01-17,d007,1997-08-07,1998-08-08,Staff,79722
Sanjoy,Barreiro,1965-01-20,d001,1988-04-09,1999-01-01,Senior Staff,79763
Fei,Murtagh,1965-01-30,d007,1986-01-19,1999-01-01,Senior Staff,79895
Kazuhisa,Weiland,1965-01-19,d009,1985-11-09,1999-01-01,Staff,80067
Shakhar,Baik,1965-01-22,d007,1993-12-01,1999-01-01,Staff,80203
Stella,Figueira,1965-01-17,d008,1990-03-14,1999-01-01,Staff,80432
Kwan,Gide,1965-01-09,d005,1998-06-24,2001-07-01,Engineer,80656
Shaowen,Eldridge,1965-01-25,d007,1987-12-05,1999-01-01,Senior Staff,80731
Rimli,Huttel,1965-01-09,d007,1989-12-14,1996-11-29,Staff,80745
Koldo,Luit,1965-02-01,d004,1995-04-16,1999-01-01,Senior Engineer,80850
Shigeo,Linnainmaa,1965-01-07,d005,1985-07-30,1999-01-01,Senior Engineer,80889
Harjit,Bardell,1965-01-27,d005,1991-05-24,1999-01-01,Engineer,80948
Jaewon,Boissier,1965-01-14,d005,1992-05-24,1999-01-01,Engineer,81105
Marco,Klerer,1965-01-28,d008,1995-02-28,2001-02-02,Senior Engineer,81162
Larisa,Kornyak,1965-01-13,d005,2000-02-07,1999-01-01,Technique Leader,81545
Gen,Aloisi,1965-01-12,d005,1985-03-12,2002-07-25,Senior Engineer,81619
Divine,Ghandeharizadeh,1965-01-05,d007,1997-11-28,1999-01-01,Staff,81644
Sreekrishna,Brender,1965-01-10,d005,1990-03-22,1999-01-01,Engineer,81995
Yechezkel,Perfilyeva,1965-01-20,d004,1994-11-03,1999-01-01,Engineer,82069
Poornachandra,Wilharm,1965-01-25,d004,1991-04-20,1999-01-01,Engineer,82098
Stevo,Thambidurai,1965-01-26,d003,1989-10-27,1999-01-01,Senior Staff,82351
Uwe,Koblick,1965-01-27,d005,1998-04-04,1999-01-01,Engineer,82511
Shigeu,Claffy,1965-01-05,d006,1998-02-03,1998-12-19,Engineer,82919
Alselm,Rikino,1965-01-27,d005,1990-11-16,1999-01-01,Senior Engineer,82928
Francesca,Ellozy,1965-01-07,d004,1999-08-08,1999-01-01,Senior Engineer,83280
Shigeichiro,Engelmann,1965-01-09,d005,1994-01-09,1999-01-01,Senior Engineer,83289
Breannda,Collavizza,1965-01-04,d005,1989-10-12,1999-01-01,Senior Engineer,83509
Leaf,Baak,1965-01-18,d007,1994-09-05,1999-01-01,Staff,83544
Ohad,Kilgore,1965-01-27,d009,2000-10-10,1999-01-01,Senior Engineer,83714
Manohar,Harllee,1965-01-23,d005,1987-03-11,1999-01-01,Senior Engineer,83805
Shunichi,Solovay,1965-01-10,d004,1986-06-07,1998-11-18,Engineer,83922
Zsolt,Hagimont,1965-01-11,d008,1996-10-08,1999-01-01,Senior Staff,83941
Babette,Eugenio,1965-01-27,d009,1997-09-21,1999-01-01,Staff,84029
Zejun,Roisin,1965-01-11,d002,1997-05-26,2002-01-16,Senior Staff,84163
Shuichi,Nanard,1965-01-25,d004,1989-03-14,1999-01-01,Senior Engineer,84179
Eberhardt,Barriga,1965-01-18,d007,1987-06-04,1999-01-01,Senior Staff,84236
Denny,Cheshire,1965-01-25,d007,1989-11-23,1992-08-08,Staff,84256
Kristina,Baumann,1965-01-23,d005,1996-09-26,1999-01-01,Assistant Engineer,84315
Shiv,Aumann,1965-01-20,d005,1998-06-14,1999-01-01,Senior Engineer,84451
Janalee,Loncour,1965-01-02,d002,1986-04-12,1987-09-04,Staff,84494
Tommaso,Vidya,1965-01-17,d005,1998-05-02,1999-01-01,Engineer,84508
Sverrir,Neimat,1965-01-14,d008,1996-11-03,1999-01-01,Staff,84840
Parke,Unno,1965-01-22,d005,1996-07-01,1999-01-01,Engineer,84922
Shin,Fujisaki,1965-01-15,d006,1988-02-23,1999-01-01,Technique Leader,84942
Ferdinand,Rosiles,1965-01-18,d002,1997-07-08,1999-01-01,Senior Staff,85216
Younwoo,Luders,1965-01-06,d006,1998-12-08,1999-01-01,Senior Engineer,85288
Chiradeep,Callaway,1965-01-14,d002,1999-07-30,1999-01-01,Staff,85414
Yongdong,Pollock,1965-01-09,d007,1998-03-17,1999-01-01,Staff,85445
Udi,Merks,1965-01-04,d006,1997-08-15,1999-01-01,Engineer,85702
Pasqua,Taubman,1965-01-30,d009,1986-06-23,1999-01-01,Senior Staff,85874
Kristine,Clemencon,1965-01-28,d007,1990-04-22,1993-06-01,Staff,86213
Maia,Berstel,1965-01-14,d006,1997-09-29,2002-01-13,Senior Engineer,86324
Ronghao,Segond,1965-01-27,d005,1993-09-13,1999-01-01,Senior Engineer,86354
Jaewon,Thummel,1965-02-01,d001,1985-09-14,1999-01-01,Senior Staff,86422
Oldrich,Woycyznski,1965-01-09,d004,1985-05-15,1999-01-01,Engineer,86546
Zhenhua,Lorys,1965-01-01,d004,1995-08-21,1999-01-01,Engineer,86655
JoAnne,Anido,1965-01-15,d008,1995-09-15,1999-01-01,Staff,86672
Keung,Neiman,1965-01-16,d007,1997-04-13,1999-01-01,Staff,87129
Quingbo,Coombs,1965-01-07,d005,1999-01-17,1999-01-01,Senior Engineer,87353
Mikhail,Gimbel,1965-01-26,d007,1993-12-22,1999-04-29,Senior Staff,87458
Khun,Janetzko,1965-01-16,d004,1989-09-13,1999-01-01,Assistant Engineer,87714
Yongmin,Roccetti,1965-01-24,d008,1986-12-10,1999-01-01,Senior Staff,87729
Conor,Thorensen,1965-01-26,d005,1988-02-24,1999-01-01,Senior Engineer,87783
Goo,Bresenham,1965-01-09,d007,1999-01-31,1999-01-01,Senior Staff,88103
Manohar,Karcich,1965-01-05,d008,1998-08-07,2000-08-22,Staff,88357
Lena,Cannane,1965-01-31,d005,2000-01-28,1999-01-01,Engineer,88411
Jungsoon,Birsak,1965-01-28,d004,1985-04-03,1999-01-01,Technique Leader,88422
Vasiliy,Ratnaker,1965-01-10,d005,1995-08-09,1999-01-01,Engineer,88647
Vojin,Coombs,1965-01-22,d002,1995-07-23,1999-01-01,Staff,88958
Mang,Hedayat,1965-01-20,d005,1995-05-22,1999-01-01,Engineer,88965
Otmar,Birjandi,1965-01-24,d005,1985-03-23,1999-01-01,Engineer,89048
Tetsushi,Theuretzbacher,1965-01-26,d003,1990-02-01,1999-01-01,Senior Staff,89090
Conal,Yetto,1965-01-07,d002,1991-01-12,1999-01-01,Staff,89161
Along,Erol,1965-01-15,d003,1992-10-16,1999-01-01,Staff,89207
Mansur,Comyn,1965-01-13,d005,1999-08-31,1999-01-01,Engineer,89346
Kazuhira,Seiwald,1965-01-29,d005,1995-03-25,1999-03-24,Engineer,89487
Guther,Rothenberg,1965-01-27,d008,1991-08-08,1999-01-01,Staff,89590
Pranjal,Rossi,1965-01-20,d001,1998-07-07,1999-01-01,Staff,89664
Aiman,Mawatari,1965-01-27,d004,1988-05-01,1999-01-01,Engineer,89680
Xiadong,Shinomoto,1965-01-27,d004,1997-05-24,1999-01-01,Engineer,89806
Alexius,Ibel,1965-01-26,d004,1988-04-24,1999-01-01,Senior Engineer,89922
Arnould,Weedman,1965-01-23,d001,1989-07-28,1999-01-01,Senior Staff,89941
Vivian,Guerreiro,1965-01-24,d005,1991-07-08,1999-01-01,Assistant Engineer,90077
Renny,Bale,1965-01-01,d004,1989-11-22,1999-01-01,Senior Engineer,90084
Brigham,Luiz,1965-01-11,d005,1990-04-10,1995-06-10,Assistant Engineer,90116
Bader,Denis,1965-01-15,d004,1997-10-06,1999-01-01,Engineer,90211
Koichi,Assaf,1965-01-09,d004,1990-05-26,1999-01-01,Senior Engineer,90292
Magy,Eiron,1965-01-26,d009,1998-08-03,2002-03-03,Senior Staff,90366
Fumiko,Chepyzhov,1965-01-24,d009,1988-01-28,1999-01-01,Senior Staff,90518
Yonghoan,Trogemann,1965-01-29,d004,1988-09-23,1999-01-01,Assistant Engineer,90614
Rajmohan,DasSarma,1965-01-03,d001,1985-09-14,1999-01-01,Staff,90692
Kazuhisa,Melter,1965-01-19,d009,1987-07-16,1999-01-01,Staff,91172
Lucien,Schwartzburd,1965-01-04,d005,1988-08-25,1999-01-01,Engineer,91182
Yahiko,Hebden,1965-01-01,d004,1996-10-03,1999-01-01,Senior Engineer,91229
Gunilla,Milicic,1965-01-13,d001,1998-01-09,1999-01-01,Staff,91256
Remmert,Plumb,1965-01-23,d005,1986-06-14,1995-12-08,Engineer,91308
Lobel,Stafford,1965-01-27,d007,1998-11-29,1999-01-01,Staff,91333
Jamaludin,Nilsson,1965-01-04,d007,1987-01-15,1999-01-01,Senior Staff,91415
Siamak,Janocha,1965-01-11,d005,1997-08-26,1998-03-21,Engineer,91462
Dmitry,Msuda,1965-01-29,d001,1988-10-22,1999-01-01,Staff,91648
Nikolaus,Swen,1965-01-03,d004,2000-01-28,2002-07-03,Engineer,91934
Jianwen,Jakobus,1965-01-25,d005,1998-08-24,2001-02-12,Senior Engineer,91973
Aria,Kilgore,1965-01-04,d009,1992-04-11,1999-01-01,Engineer,92438
Girolamo,Bellmore,1965-01-01,d009,1996-12-04,2000-04-27,Senior Staff,92443
Visit,McFarlan,1965-01-24,d006,1987-10-22,1999-01-01,Senior Engineer,92454
Zhanqiu,Farrow,1965-01-06,d004,1999-01-10,1999-01-01,Assistant Engineer,92577
Ranga,Merro,1965-01-18,d004,1996-05-11,1999-01-01,Assistant Engineer,92598
Mang,Atchley,1965-01-26,d007,1995-06-07,1999-01-01,Senior Staff,92685
Claude,Candan,1965-01-22,d007,1993-08-04,1999-01-01,Senior Staff,92841
Anyuan,Kropatsch,1965-01-11,d001,1986-09-05,1999-01-01,Staff,92846
Huei,Hutter,1965-01-20,d005,1993-01-28,1999-01-01,Senior Engineer,92920
Jaques,Kabayashi,1965-01-19,d005,1992-03-13,1999-01-01,Senior Engineer,93040
Richara,Walston,1965-01-11,d006,1996-08-27,1999-01-01,Senior Engineer,93220
Magdalena,Penn,1965-02-01,d004,1997-01-04,1999-01-01,Senior Engineer,93278
Arie,Coullard,1965-02-01,d007,2000-03-28,1999-01-01,Staff,93549
Kristina,Neimat,1965-01-13,d004,1988-04-18,1999-01-01,Technique Leader,93600
Rimli,Werthner,1965-01-23,d004,1994-05-27,2000-12-30,Senior Engineer,93794
Gift,Brender,1965-01-19,d005,1996-10-31,2000-01-02,Senior Engineer,94045
Bernardo,Vasanthakumar,1965-01-29,d002,1997-05-01,1997-07-20,Staff,94131
Ramzi,Cronau,1965-01-26,d004,1999-09-03,1999-01-01,Technique Leader,94331
Aran,Cesareni,1965-01-01,d007,2001-11-20,1999-01-01,Senior Staff,94416
Bilhanan,Marrakchi,1965-01-28,d002,1998-02-03,2000-10-12,Staff,94442
Kazuyasu,Sridhar,1965-01-30,d002,1999-12-22,2001-12-03,Staff,94690
Hitofumi,Zaccaria,1965-01-27,d005,1988-11-22,1999-01-01,Engineer,94761
Shigenori,Stanfel,1965-01-22,d009,1993-04-25,1999-12-11,Staff,94787
Heping,Matheson,1965-01-13,d005,1988-06-24,1999-01-01,Senior Engineer,94944
Yishai,Cappelli,1965-01-28,d008,1997-01-30,1999-01-01,Staff,95181
Kristin,Guerreiro,1965-01-18,d005,1989-08-23,1999-01-01,Senior Engineer,95286
Rasiah,Koblick,1965-01-22,d007,1991-08-21,1999-01-01,Staff,95314
Alair,Lyonns,1965-01-08,d005,1997-07-12,1999-01-01,Engineer,95406
Gianluca,Ramaiah,1965-01-13,d005,1993-11-29,1999-01-01,Engineer,95416
Kristinn,Loncour,1965-01-11,d004,1995-02-08,1999-01-01,Engineer,95509
Abdulah,Hofstetter,1965-01-20,d004,1999-11-24,2000-05-24,Engineer,95692
Nobuyoshi,Hegner,1965-01-19,d002,1994-09-07,1999-01-01,Senior Staff,95920
Pranay,Rebaine,1965-01-11,d004,1998-02-01,2000-12-31,Senior Engineer,96100
Kokou,Garrabrants,1965-01-13,d004,1997-11-05,1999-01-01,Senior Engineer,96571
Mohan,Tasistro,1965-01-18,d004,1996-02-10,1999-01-01,Engineer,96579
Arumugam,Vecchio,1965-01-07,d004,1985-08-14,1999-01-01,Engineer,96767
Jeanna,Chinen,1965-01-09,d004,1989-01-01,1999-01-01,Engineer,97018
Anwar,Riexinger,1965-01-22,d005,1991-12-31,2000-01-09,Senior Engineer,97092
Haldon,Janetzko,1965-01-25,d003,1990-09-11,1999-01-01,Staff,97623
Avishai,Hegner,1965-01-31,d008,1993-05-08,1999-01-01,Senior Staff,97661
Moie,Karunanithi,1965-01-10,d005,1990-02-07,1994-11-02,Senior Engineer,97697
Sumali,Huttel,1965-01-12,d008,1989-09-12,1999-01-01,Staff,98288
Ziya,Kadhim,1965-01-16,d005,1995-11-02,1999-06-24,Senior Engineer,98306
Giao,Junot,1965-01-08,d007,1999-07-01,2002-02-25,Staff,98514
Florina,Assaf,1965-01-29,d008,1996-05-18,1999-01-01,Staff,98639
Shugo,Reeken,1965-01-30,d009,1999-06-21,1999-01-01,Staff,99057
Xiaobin,Christianini,1965-01-13,d009,1985-12-25,1999-01-01,Senior Staff,99373
Carrsten,Francisci,1965-01-18,d005,1991-06-16,1999-01-01,Senior Engineer,99377
Dhritiman,Anily,1965-01-24,d007,1998-12-16,1999-01-01,Staff,99590
Mahendra,Motley,1965-01-30,d008,1985-09-28,1999-01-01,Staff,99654
Hisao,Peral,1965-01-19,d004,1990-10-03,1999-01-01,Senior Engineer,100865
Kazuhide,Harnett,1965-01-13,d004,1995-02-02,1999-02-13,Engineer,100877
Heejo,Aamodt,1965-01-18,d005,1992-04-22,1999-01-01,Engineer,100916
Nectarios,Munos,1965-01-08,d005,1994-08-31,1995-08-14,Senior Engineer,101063
Abdelaziz,Sury,1965-01-14,d007,1991-01-31,1999-01-01,Senior Staff,101487
Mori,Homond,1965-01-22,d007,1994-05-10,1999-01-01,Senior Staff,101647
Mantis,Millington,1965-01-14,d007,1991-03-18,1999-01-01,Staff,101902
Adin,Templeman,1965-01-03,d006,1999-08-12,1999-01-01,Engineer,102620
Waiman,Dalton,1965-01-09,d005,1990-05-25,2002-02-09,Engineer,103166
Doowon,Highland,1965-01-05,d005,1988-03-08,1989-12-28,Senior Engineer,103172
Djenana,Albarhamtoshy,1965-01-16,d003,1988-07-16,1999-01-01,Senior Staff,103196
Visit,Swen,1965-01-07,d001,1995-10-02,1999-01-01,Staff,103310
Susanne,Peternell,1965-01-03,d005,1994-07-27,1999-01-01,Senior Engineer,103316
Beshir,Hellwagner,1965-01-03,d006,1998-02-03,1999-01-01,Engineer,103342
Heping,Halloran,1965-01-31,d005,1992-04-08,1999-01-01,Assistant Engineer,103756
Pranjal,Zyda,1965-01-31,d007,1991-07-03,1999-01-01,Senior Staff,104133
Werner,Lodder,1965-01-29,d002,1992-06-17,1999-01-01,Staff,104845
Zongyan,Auyong,1965-01-04,d004,1987-11-02,1991-12-22,Engineer,104962
Parviz,Litzler,1965-01-07,d005,1992-08-08,1999-01-01,Engineer,104988
Jaber,Kleiser,1965-01-01,d004,1986-12-13,1987-09-22,Engineer,105191
Kwun,Reeker,1965-01-01,d006,1999-07-29,1999-01-01,Technique Leader,105342
Diederik,Matzov,1965-01-29,d008,1995-03-08,1999-01-01,Senior Engineer,105356
Mohamadou,Stafford,1965-01-08,d005,1995-09-12,1999-01-01,Engineer,105432
Haldun,Lienhardt,1965-01-01,d007,1987-01-29,1999-01-01,Senior Staff,105520
Yechiam,Egerstedt,1965-01-28,d005,1995-12-31,1999-07-18,Engineer,105589
Sachem,Cromarty,1965-01-15,d005,1990-08-20,1999-01-01,Assistant Engineer,105731
Vidar,Thibadeau,1965-01-23,d007,1995-03-02,1999-09-15,Staff,105936
Naftali,Schurmann,1965-01-14,d004,1992-12-02,1999-01-01,Senior Engineer,106096
Nevio,Thisen,1965-02-01,d003,1988-03-25,1999-01-01,Staff,106242
Otilia,Speek,1965-01-04,d005,1988-07-30,1992-11-07,Senior Engineer,106514
Lijie,Garrabrants,1965-01-31,d005,1988-10-26,1999-01-01,Senior Staff,106695
Babette,Anandan,1965-01-31,d001,1986-11-22,1999-01-01,Staff,106710
Horward,Begiun,1965-01-24,d004,1985-11-06,2002-05-22,Senior Engineer,106958
Siamak,Luiz,1965-01-23,d005,1987-02-11,1999-01-01,Senior Engineer,107486
Fabrizio,Chleq,1965-01-23,d005,1999-07-31,1999-01-01,Senior Engineer,107737
Shahab,Crooks,1965-01-13,d001,1992-03-18,1999-01-01,Senior Staff,107792
Ramya,Walston,1965-01-26,d007,1989-02-03,1999-01-01,Senior Staff,107828
Hisao,Ghemri,1965-01-09,d009,1985-11-14,1999-01-01,Senior Staff,108091
Randi,Samarati,1965-01-24,d008,1992-10-20,1999-01-01,Staff,108198
Shai,Stellhorn,1965-01-02,d004,1992-05-21,1999-01-01,Senior Engineer,108316
Oksana,Baek,1965-01-19,d007,1989-07-20,1999-01-01,Staff,108988
Jamaludin,Kandlur,1965-02-01,d005,1992-06-19,1999-01-01,Senior Engineer,109062
Gor,Delgrande,1965-01-11,d005,1995-11-07,2002-06-18,Engineer,109211
Moty,Winter,1965-01-15,d004,1991-04-28,1999-01-01,Technique Leader,109252
Bangqing,Schach,1965-01-21,d002,1988-03-22,1999-01-01,Senior Staff,109278
Chenye,Zizka,1965-01-04,d009,1986-02-22,2002-04-21,Senior Staff,109547
Menkae,Etalle,1965-01-31,d005,1997-05-21,1999-01-01,Engineer,109552
Xiaobin,DuBourdieux,1965-01-19,d002,1985-09-16,1988-05-11,Staff,109553
Stamatina,Auyong,1965-02-01,d002,1988-07-05,1999-01-01,Senior Staff,109598
Jamaludin,Lalonde,1965-01-08,d007,1994-07-09,1998-08-24,Staff,109611
Mani,Cannata,1965-01-02,d007,1989-06-21,1999-01-01,Senior Staff,109620
Huan,Perko,1965-01-25,d003,1988-07-31,1999-03-12,Senior Staff,109652
Arco,Walston,1965-01-17,d004,1999-08-16,1999-01-01,Engineer,109703
Hatem,Fadgyas,1965-01-11,d004,1991-11-13,1999-01-01,Senior Engineer,109741
Godehard,Chorvat,1965-01-26,d007,1988-04-10,1999-01-01,Staff,109953
Slavian,Cincotta,1965-01-27,d005,1992-05-30,1997-07-07,Senior Engineer,200052
Shahab,Luit,1965-01-31,d007,1985-11-20,1997-02-05,Senior Staff,200176
Chuanti,Luff,1965-01-08,d009,1994-09-21,1999-01-01,Senior Staff,200267
Akemi,Fujisaki,1965-01-27,d006,2001-11-13,1999-01-01,Senior Engineer,200312
Kirk,Quaggetto,1965-01-10,d005,1987-06-30,1999-01-01,Engineer,200363
Dinah,Denos,1965-01-09,d001,1992-09-21,1999-01-01,Senior Staff,200735
